Tourist X Matthew Dear 	Mezzanine (San Francisco)	Fri: Dec 20 (9pm-2am)	leftfield, future beats	$18-28 | 21+		https://www.eventbrite.com/e/tourist-matthew-dear-at-mezzanine-tickets-73856275107
Dalecali & Friends #1 	F8 1192 Folsom (San Francisco)	Fri: Dec 20 (9pm-4am)	dubstep, brazilian bass, trap, hip-hop	$10  | 21+	Dalecali Br	https://www.eventbrite.com/e/dalecali-friends-1-tickets-85429236145
Black Celebration : All Depeche Mode, All Night / Dancing Ghosts 	Cat Club (San Francisco)	Fri: Dec 20 (9:30pm-2:30am)	darkwave, post-punk, industrial, 80s synthpop	$5 b4 10/$8 | 21+		https://www.facebook.com/events/821320724965277/
Thomas Jack 	Audio (San Francisco)	Fri: Dec 20 (9:30pm-2am)	progressive house, funky house	$20-35 | 21+		https://www.eventbrite.com/e/thomas-jack-tickets-80778834669
Panic Room 018 w/ Leap Year & Tooth 	The Golden Bear (Sacramento)	Fri: Dec 20 (10pm-1am)	house, techno			https://www.facebook.com/events/502464367144141/
Andrew Rayel 	Pure Nightclub (Sunnyvale)	Fri: Dec 20 (10pm-2am)	big room house, trance	$20-30 pre | 21+		https://purenightclub408.com/event/andrew-rayel-12-20-19/
Club Lonely Disco Holiday: Vin Sol + DJ Primo + Jeremy Castillo 	Omg (San Francisco)	Fri: Dec 20 (10pm-2am)	funky house, booty music, jackin house, deep house, disco	$10  | 21+		https://www.facebook.com/events/481538292472180/
Merry Funkmas! 	Slate Bar (San Francisco)	Fri: Dec 20 (10pm-2am)	funk, r&b, disco, soul	21+		https://www.facebook.com/events/585536028909607/
Nitti Gritti 	Origin (San Francisco)	Fri: Dec 20 (10pm-2am)	trap	$21.50-24.50 | 18+	We Dream Worlds	https://www.eventbrite.com/e/nitti-gritti-at-origin-18-tickets-82669858773
Swerve: Singles Night (Ages 18+) 	Club X (San Francisco)	Fri: Dec 20 (10pm-2am)	pop EDM, top 40, hip-hop	$15 pre/$20 | 18+	Club X	https://www.eventbrite.com/e/swerve-singles-night-ages-18-tickets-86455158707
The Jewel Box w// Madam Bliss, Jason Burruss, Av8trix, Raeya 	Copper Spoon (Oakland)	Fri: Dec 20 (10pm-2am)	bass music, dubstep, trap, drum and bass, hip-hop	$10 		https://www.facebook.com/events/648733558994579/
Intimate Night w/ Perfect Stranger 	The Midway (San Francisco)	Fri: Dec 20 (10pm-3:30am)	psytrance, techno	$15-22 | 21+		https://www.residentadvisor.net/events/1340048
Chromeo / Justin Jay / Juan Maclean 	1015 Folsom (San Francisco)	Fri: Dec 20 (10pm-3am)	house, disco, synthpop	$15-20 | 21+	1015 Folsom	https://www.eventbrite.com/e/chromeo-justin-jay-juan-maclean-at-1015-folsom-tickets-73362183265
Morten 	Temple Nightclub (San Francisco)	Fri: Dec 20 (10pm-3am)	pop EDM, dubstep	$20  | 21+		https://www.eventbrite.com/e/temple-fridays-tickets-84081264325
Wormhole Presents: Jon1st & Shield (Live) + Supertask & More 	The Great Northern (San Francisco)	Fri: Dec 20 (10pm-3am)	dubstep, trap, glitch-hop, hip-hop, psydub, breakbeat, bass music	$5-10 | 21+		https://www.eventbrite.com/e/wormhole-presents-jon1st-shield-live-supertask-more-tickets-75916609623
Hernan Cattaneo 	Public Works (San Francisco)	Fri: Dec 20 (10pm-4am)	progressive house	$10-25 | 21+	Set-SF	https://www.residentadvisor.net/events/1330963
Rybo & Lubelski 	Halcyon (San Francisco)	Fri: Dec 20 (10pm-4am)	tech house, techno	$5-20 | 21+		https://www.eventbrite.com/e/rybo-and-lubelski-tickets-80964955361
Entranced Friday Afterhours 	The Endup (San Francisco)	Sat: Dec 21 (2am-6am)	trance, progressive house	Free w/RSVP / $0 | 21+		https://entranced1220.eventbrite.com/
Inside Out: Jamel Lee / Brent Yocom / I/O Residents 	The Endup (San Francisco)	Sat: Dec 21 (6am-11am)	tech house	$20  | 21+		https://www.facebook.com/events/2783192511703436/
Brunch Af Ugly Sweater Party 	Costanza's (Sacramento)	Sat: Dec 21 (11am-3pm)	house	Free w/RSVP	Ajotta	https://www.facebook.com/events/460472101275413/
Dirtybird Holiday - SF Pop-Up Shop 	Bar Fluxus (San Francisco)	Sat: Dec 21 (2pm-2am)	tech house, funky house	21+		https://www.facebook.com/events/843677216060893/
Mo.Flow: Solstice Celebration! Basiclee, Blissai, DownsquareZ, ReishiO 	The Jade Lounge (Monterey)	Sat: Dec 21 (8pm-1:30am)	dubstep, bass music, trap	$10  | 18+		https://www.facebook.com/events/467262577473368/
Myles Parrish 	Cornerstone (Berkeley)	Sat: Dec 21 (8pm-11:30pm)	hip-hop	$21  | All ages	The Uc Theatre	https://www.eventbrite.com/e/myles-parrish-tickets-75769960993
Club Necromancy: The Darkest Night, Winter Solstice Party 	Midtown Barfly (Sacramento)	Sat: Dec 21 (9pm-1:30am)	goth, industrial, synthpop, EBM, dark 80s, new wave	$5 b4 10/$8 | 21+		https://www.facebook.com/events/2451360195146121/
Yuka Yu 	Fern Bar (Sebastopol)	Sat: Dec 21 (9pm-11:30pm)	funk, disco, house, techno, afro, acid	Free | 21+		https://www.facebook.com/events/2892484454112757/
Bone Thugs-N-Harmony 	The Catalyst Nightclub Atrium (Santa Cruz)	Sat: Dec 21 (9pm-12am)	hip-hop	$30-40 | All ages	The Catalyst Club	https://www.eventbrite.com/e/64582721659
Almost Christmas Party w/ Sosupersam & Noodles 	Midway (San Francisco)	Sat: Dec 21 (9pm-2am)	hip-hop, r&b	$15-30 | 21+	15Utah, Ankh	https://www.eventbrite.com/e/almost-christmas-party-w-sosupersam-noodles-tickets-82696536567
Dad December - Feliz Navidad w/Siobhan Aluvalot, Stephen Quinones, Kelly Naughton 	Driftwood (San Francisco)	Sat: Dec 21 (9pm-2am)	house	$7-10 | 21+		https://www.eventbrite.com/e/dad-december-feliz-navidad-w-siobhan-aluvalot-stephen-quinones-tickets-82554030327
Late Night Radio + Daily Bread 	Mezzanine (San Francisco)	Sat: Dec 21 (9pm-2am)	club music, uk garage, bass music, juke	$15-20 | 21+		https://www.eventbrite.com/e/late-night-radio-daily-bread-at-mezzanine-tickets-75904687965
MNML:FUN w/ Joey Alaniz and Gavin Smith 	Underground (San Francisco)	Sat: Dec 21 (9pm-2am)	minimal, techno, tech house	$5 b4 10/$8 | 21+	Mnmlfun	https://www.facebook.com/events/413395959540882/
Plaid Live A/V 	Gray Area Art + Technology (San Francisco)	Sat: Dec 21 (9pm-2am)	IDM, experimental	$25  | 21+	Gray Area Art + Technology	https://withfriends.co/event/2400450/plaid_live_av
Saturdays w/ Bk & Gold Bloc 	Hawthorn (San Francisco)	Sat: Dec 21 (9pm-2am)	house, top 40, pop EDM, hip-hop	Free | 21+		https://www.eventbrite.com/e/hawthorn-saturdays-w-bk-gold-bloc-tickets-85582217717
Silent Boom! Holiday Celebration: Ari Poppers, DJ Jade, XotiX, Big Maxxx, Tribble Trouble, Mr Feeney, HADDIT, Computerbeats, Ray Wubz 	Whiskey Tip (Santa Rosa)	Sat: Dec 21 (9pm-2am)	house, drum and bass, dubstep, bass music	$10 pre/$15 | 21+	Silent Boom Events	https://www.facebook.com/events/603022507133636/
Smartbomb V65 / Nappy Nina / Chris Keys / Andre Mateo Band /  Do More / +++ 	The Legionnaire Saloon (Oakland)	Sat: Dec 21 (9pm-2am)	hip-hop, footwork, juke, house, techno, trap	$5-10 | 21+	Smart Bomb	https://www.eventbrite.com/e/smartbomb-v65-nappy-nina-chris-keys-andre-mateo-band-do-more-tickets-84268117207
Mystique (A Winter Solstice Holiday Party) - Bairfro, Emanate, Shane Fontane, Zaria, Dominic M, Confido, Bakr 	The Public Works (San Francisco)	Sat: Dec 21 (9pm-3:30am)	techno, deep house	$10  | 21+	Mioli Music	https://www.bigneon.com/tickets/moli-music-presents-mystique-a-winter-solstice-holiday-extravaganza-at-public-works-main-room-san-francisco
Fake and Gay: Mood Killer (Live), The Saddest Angel 	The Stud (San Francisco)	Sat: Dec 21 (9pm-3am)	house	$10  | 21+	Adam Kraft	http://www.residentadvisor.net/events/1360273
Durante 	Audio (San Francisco)	Sat: Dec 21 (9:30pm-12:30am)	progressive house, tech house	$10  | 21+		https://www.eventbrite.com/e/durante-tickets-84970806971
SF Hitters: R. Fentz - Tobin Ellsworth - Benjamin K - Snee - Kat. Ro 	Monarch (San Francisco)	Sat: Dec 21 (9:30pm-2:30am)	tech house, deep house, funky house	$10 pre | 21+		http://www.residentadvisor.net/events/1362468
The 14th Annual Bah Humbug - Rick Preston, Harry Who, MJ Gamez 	Cardiff & Cocktails (Campbell)	Sat: Dec 21 (9:30pm-2am)	house	Free | 21+		https://www.facebook.com/events/706283279779216/
Set w/ Sabo b2b Goldcap (Sol Selectas) Open 2 Close 	The Great Northern (San Francisco)	Sat: Dec 21 (9:30pm-4am)	techno, tribal house	$10 b4 11/$15-30 | 21+	Set Underground	https://www.eventbrite.com/e/set-with-sabo-b2b-goldcap-sol-selectas-open-2-close-at-the-great-northern-tickets-75994755359
Maintain: Mike EFEX, Deja Vue, Yokes, Shawn Wood 	Fulton 55 (Fresno)	Sat: Dec 21 (10pm)	trance, house	$15 pre/$20 | 21+		https://www.eventbrite.com/e/maintain-tickets-85159435163
Housekeeping Takeover 	Wish (San Francisco)	Sat: Dec 21 (10pm-2am)	house	Free | 21+		https://www.eventbrite.com/e/housekeeping-takeover-122119-tickets-84990915115
Twisted Castle Disco Saturday w/DJ Max Kim 	Edinburgh Castle Pub (San Francisco)	Sat: Dec 21 (10pm-2am)	maximal house, techno, disco, jazz	Free | 21+		https://www.facebook.com/events/2435473106688335/
Bootie SF: Island Of Misfit Toys 	DNA Lounge (San Francisco)	Sat: Dec 21 (10pm-3:30am)	mashups	$10 b4 11pm/$15 pre/$20 | 18+		https://dnalounge.com/calendar/2019/12-21.html
Borgore 	Temple Nightclub (San Francisco)	Sat: Dec 21 (10pm-3am)	trap, electro house, dubstep	$20+ | 21+	Temple Nightclub	https://www.eventbrite.com/e/borgore-tickets-80814358923
The Last Elements Party Of The Decade! Patrick Wilson, Nina Sol 	Spirithaus Gallery (Oakland)	Sat: Dec 21 (10pm-3am)	soulful house, deep house, funky house	$5 b4 11 | 21+		https://www.facebook.com/events/786605225153568/
Moulton Music Holiday Party - Mark De Clive Lowe 	Halcyon (San Francisco)	Sat: Dec 21 (10pm-4am)	jazz, live electronic	$15  | 21+		https://www.residentadvisor.net/events/1346610
Tvod Winter Solstice Underground: TR4VI3ZA, IDH, Michael Claus, FOZOOL, Selim X, OSO FEO, The Creatrix, Jason Polastri, Nihar 	Counterpulse (San Francisco)	Sat: Dec 21 (10pm-4am)	techno, house, club music, experimental	$10  | 21+		https://counterpulse.secure.force.com/ticket/#/events/a0Sf300000DJDNEEA5
The Show - Endo, Ben Seagren, Dean Samaras 	The Endup (San Francisco)	Sun: Dec 22 (2am-8am)	house	Free w/RSVP / $5 OFF COVER | 21+		https://www.eventbrite.com/e/the-show-endo-ben-seagren-dean-samaras-tickets-85512463079
After Dawn w/ Nikita, Sharon Buck and C.J. Larsen 	Monroe (San Francisco)	Sun: Dec 22 (6am-12pm)	tech house, funky house, disco	$20  | 21+	Good Call SF	http://www.residentadvisor.net/events/1362449
The Unusual Holiday Party 2019 w/ Joey Alaniz and Elz 	800 Larkin St (San Francisco)	Sun: Dec 22 (1pm-10pm)	house, disco, funky house	Free w/RSVP / $0	The Unusual Suspects	https://www.eventbrite.com/e/the-unusual-holiday-party-2019-with-joey-alaniz-and-elz-tickets-85377369009
Freqish Feat. Sicaria Sound 	The Flamingo House (Sacramento)	Sun: Dec 22 (3pm-8pm)	dubstep, bass music	$5-15 | 21+	Requiem Events	https://www.eventbrite.com/e/freqish-feat-sicaria-sound-deep-medi-musikrinse-fm-tickets-83885912021
DJ Spun, Harry WHO, Richie Staxx, Scottie Soul, DJ ALEK, William, Mark Phinney 	1226 Lincoln Way (Auburn)	Sun: Dec 22 (6pm-6am)	house, classic house, disco, funky house, deep house	$10 pre/$15 door | 21+	Funk-E Hifi	https://www.eventbrite.com/e/our-house-dj-spun-harry-who-tickets-83757596225
EPR Reunion - Nightmare Before Christmas: 1Accord, B33SON, Ben Danklin, CShay, Elevener, Feddie Fiers, Jays One, Juan LOL, Linx, Mark G, Subcraze, Switchblade, Uncanney 	The Great Northern (San Francisco)	Sun: Dec 22 (9pm-2am)	electro house, dubstep, progressive house, EDM	$7-17.20 | 21+		https://www.eventbrite.com/e/epr-reunion-nightmare-before-christmas-tickets-84222629151
Werd. w/ Matthew Paul 	Monarch (San Francisco)	Sun: Dec 22 (9pm-2am)	house, techno	$5  | 21+		http://www.residentadvisor.net/events/1353845
Respect X Stamina - Machete, Clutch, Dre, Jamal X Adept 	F8 1192 Folsom (San Francisco)	Sun: Dec 22 (10pm-2am)	drum and bass, jungle	Free | 21+	Stamina DNB	https://www.facebook.com/events/2664838803602166/
Monday Night Edutainment (Merry Spliffmas Edition) 	Hopmonk Tavern Sebastopol (Sebastopol)	Mon: Dec 23 (10pm-2am)	dancehall, hip-hop, trap, reggae	$5 b4 1030/$10 | 21+		https://www.facebook.com/events/498988100971575/
Acid Xmas - Jeno, Ken Vulsion, Carlos Souffront, Tyrel 	F8 1192 Folsom (San Francisco)	Tue: Dec 24 (9pm-4am)	acid house, techno	Free w/RSVP b4 11pm/$5 pre | 21+		https://www.eventbrite.com/e/6th-annual-acid-house-xmas-tickets-85209970315
8th Annual James Brown Tribute Party 	The Continental Bar Lounge & Patio (San Jose)	Wed: Dec 25 (8pm-1:30am)	funk, hip-hop, future beaets	Free w/RSVP | 21+	Universal Grammar	https://www.facebook.com/events/2186038891497130/
Death Guild X-Mess 	DNA Lounge (San Francisco)	Wed: Dec 25 (9pm-2:30am)	industrial, goth, EBM	$5  | All ages		https://www.dnalounge.com/calendar/2019/12-25.html
Housepitality: Michael Tello, Miguel Solari, Sharon Buck, Charlotte The Baroness 	F8 1192 Folsom (San Francisco)	Wed: Dec 25 (9pm-2am)	house	Free w/RSVP b4 10pm / $5 pre / $10 | 21+		https://www.eventbrite.com/e/housepitality-christmas-ft-mikey-tello-b2b-miguel-solari-more-tickets-85594404167?fbclid=IwAR2gCzGRfGmXquDOrHJ_CzyuFCM2suEhqFvklGE2zQ7JpHa8VURb-_QVfpo
Supernature: Boxing Day w/ Special Guest 	Monarch (San Francisco)	Thu: Dec 26 (9:30pm-2am)	house, techno, disco	$5 pre/$10 | 21+		https://www.eventbrite.com/e/supernature-boxing-day-w-special-guest-tickets-85162085089
Gareth Emery 	1015 Folsom (San Francisco)	Thu: Dec 26 (10pm-2am)	trance, big room, progressive house	$35-45 | 21+		https://www.eventbrite.com/e/gareth-emery-at-1015-folsom-tickets-83580935829
Konstruct w/ Cory Simpson, 888, & U-Srd 	Underground (San Francisco)	Thu: Dec 26 (10pm-2am)	techno	$10  | 21+		https://www.facebook.com/events/1407018456088819/
Thursday Sessions 	Bergerac (San Francisco)	Thu: Dec 26 (10pm-2am)	tech house, deep house	Free w/RSVP | 21+	Housekeeping Entertainment	https://www.eventbrite.com/e/thursday-sessions-122619-tickets-84969731755
Disc Oh! 	Hawthorn (San Francisco)	Fri: Dec 27 (5pm-10pm)	disco, boogie	21+	Boomzilla Sound	https://www.facebook.com/events/2986160911408373/
Modular Feat. Sepp 	Phonobar (San Francisco)	Fri: Dec 27 (8pm-2am)	minimal, techno, tech house	21+		http://www.residentadvisor.net/events/1356314
Hyphy Holiday Reunion w/ Too Short, The Federation & More 	August Hall (San Francisco)	Fri: Dec 27 (8:30pm)	hip-hop, hyphy	$35-85 | 21+	Hyphy Culture	https://www.augusthallsf.com/event/9929065/hyphy-holiday-reunion-with-too-short-more/
ATLiens 	Elev8 Nightclub (San Jose)	Fri: Dec 27 (9pm-2am)	trap, bass music	$10+ | 21+	Vital & Olympus	https://www.eventbrite.com/e/vital-olympus-present-atliens-at-elev8-san-jose-tickets-83756190019
Dystopia Dnb's Pre-Nye Fest & F*Ck Cancer Event Feat. Zere 	Lounge 3411 (Oakland)	Fri: Dec 27 (9pm-2am)	drum and bass, jungle	$5  | 21+	Dystopia Drum & Bass	https://www.facebook.com/events/2639683259446593/
Shlump'ed For The Holidays 	Hopmonk Tavern Sebastopol (Sebastopol)	Fri: Dec 27 (9pm-2am)	bass music	$20  | 21+	Hopmonk Tavern Sebastopol	https://www.facebook.com/events/2437418686495797/
Alice Glass (DJ Set) & Pictureplane 	The Public Works (San Francisco)	Fri: Dec 27 (9pm-3am)	darkwave, synthpop	$15-20 | 21+		https://www.bigneon.com/tickets/alice-glass-dj-set-pictureplane-presented-by-public-works-san-francisco-vy9Cj
Direct to Earth w/ D.Dan, John Barera & Will Martin, Max Gardner, Sean Raya, N'conduit, Dhyan Moller 	F8 1192 Folsom (San Francisco)	Fri: Dec 27 (9pm-4am)	techno	$10-15 | 21+		https://www.residentadvisor.net/events/1331541
Acid Rain New Year's Rave-O-Lution: Astral Projection, Perkulat0r, Ananaki (Live), Dr. Spook -vs- Michael Liu, Gitsi -vs- PsybraCadabra, Phers, Psynthetic, Random -vs- Helios, Audiodidakt, Suncat, Eddy Moran -vs- Iron Bender, TreeKat, Average Joe, Dmn, Flowerchild, D-Jace, Made of The Moon 	DNA Lounge (San Francisco)	Fri: Dec 27 (9pm-6am)	psytrance, techno, hard trance, tech trance, bass music, hardcore	$10-15 pre/$25-30 | All ages	E-Portal, Geomagnetic, PLUR Alliance	https://www.dnalounge.com/calendar/2019/12-27.html
Bouncemas w/ Lt.Daaan, Mr Bounceman, Numerous, Daniel Boyer 	Cafe Mare (Santa Cruz)	Fri: Dec 27 (9:30pm-1am)	funky house, tech house, electro house	$5 b4 11/$10 | 21+	The Bounce Car	https://www.facebook.com/events/516222235643318/
Ilan Bluestone 	Audio Nightclub (San Francisco)	Fri: Dec 27 (9:30pm-2:30am)	trance, progressive house	$30-40 | 21+		https://www.tixr.com/groups/alldayallnight/events/ilan-bluestone-at-audio-night-one-17000
Wolf + Lamb 	Monarch (San Francisco)	Fri: Dec 27 (9:30pm-2:30am)	deep house, house	$10-20 | 21+		https://www.eventbrite.com/e/monarch-presents-wolf-lamb-tickets-85184548277
Wicked 90s 	Cat Club (San Francisco)	Fri: Dec 27 (9:30pm-3am)	90s pop, hip-hop, industrial, trip-hop, electronica	21+		https://www.facebook.com/events/602085970600209/
Mlc #5 w/ DJ Swisha, Fiera!, Farsight & Velaluna 	Starline Social Club (Oakland)	Fri: Dec 27 (10pm-2am)	house, techno, club music, drum and bass, trap, footwork	Free w/RSVP | 21+	Moonlight Council	https://www.facebook.com/events/443727859620536/
Zomboy 	Pure Nightclub (Sunnyvale)	Fri: Dec 27 (10pm-2am)	dubstep	$20-30 | 21+		https://www.purenightclub408.com/event/zomboy-12-27-19/
Flosstradamus 	1015 Folsom (San Francisco)	Fri: Dec 27 (10pm-3am)	trap, hip-hop	$20-30 | 21+		https://www.eventbrite.com/e/flosstradamus-at-1015-folsom-tickets-76801195443
Matisse & Sadko 	Temple Nightclub (San Francisco)	Fri: Dec 27 (10pm-3am)	pop EDM, house	$20+ | 21+		https://www.eventbrite.com/e/matisse-sadko-tickets-84083497003
Greg Downey: Open-Close 	Halcyon (San Francisco)	Fri: Dec 27 (10pm-4am)	trance, tech trance, techno	$10-25 | 21+	Halcyon SF	https://www.eventbrite.com/e/greg-downey-open-close-tickets-74466618661
Texture Summit: Gene On Earth 	Phonobar (San Francisco)	Sat: Dec 28 (8pm-2am)	tech house, breaks	21+		http://www.residentadvisor.net/events/1356316
Dam-Funk, Nosaj Thing & J-E-T-S 	August Hall (San Francisco)	Sat: Dec 28 (9pm)	live pa, future beats, funk, boogie, synthpop, club music	$25  | 21+	Dothebay	https://www.ticketweb.com/event/dam-funk-nosaj-thing-august-hall-tickets/10010345?REFERRAL_ID=twfb
Marauda 	DNA Lounge (San Francisco)	Sat: Dec 28 (9pm)	dubstep	$15-20 pre/$25 | 18+	Wasted	https://www.dnalounge.com/calendar/2019/12-28.html
